src_id,dst_id,pn_id
20000001,20000003009,10000005550
20000001,200000014645,10000007600
20000001,200000019932,10000001
20000001,200000096908,10000001113
20000002,200000030239,100000051634
20000002,200000030747,10000005558
20000002,200000033336,100000083973
20000002,200000078728,100000047191
20000003,20000001235,100000043597
20000003,200000018617,1000000686
20000003,200000048127,10000008402
20000003,200000080717,100000056406
20000004,20000004435,100000017979
20000004,20000008455,10000001
20000004,200000020123,100000072035
20000004,200000052890,100000021974
20000005,200000014302,100000013095
20000005,200000037637,1000000390
20000005,200000061098,100000043
20000005,200000062965,1000000194
20000006,200000011435,1000000696
20000006,200000014207,100000035386
20000006,200000055325,100000065844
20000006,200000084075,10000005185
20000007,200000039431,100000075737
20000007,200000064777,100000032586
20000007,200000067579,1000000326
20000007,200000068162,100000024575
20000008,2000000249,10000001
20000008,20000002107,10000002727
20000008,200000010104,1000000686
20000008,200000053206,100000025806
20000009,20000005680,10000007796
20000009,200000071961,100000017294
20000009,200000077755,10000008
20000009,200000090410,100000018766
200000010,20000004634,10000002305
200000010,20000005069,100000045963
200000010,200000024520,10000009016
200000010,200000051921,100000042139
200000011,200000013747,100000049133
200000011,200000075886,10000001
200000011,200000081480,100000010
200000011,200000093018,1000000570
200000012,2000000335,10000004914
200000012,20000002168,1000000323
200000012,200000017402,100000049056
200000012,200000087875,100000058014
200000013,20000002341,10000003380
200000013,200000016662,1000000677
200000013,200000018196,100000047888
200000013,200000046338,100000055122
200000014,20000004905,10000006
200000014,200000077476,1000000532
200000014,200000083450,100000084163
200000014,200000097192,10000001
200000015,2000000866,100000027907
200000015,20000006573,10000009234
200000015,200000060725,100000044189
200000015,200000099678,100000053890
200000016,200000024221,10000007786
200000016,200000037534,100000054650
200000016,200000064292,10000002
200000016,200000093196,1000000621
200000017,200000012906,10000001
200000017,200000049313,1000000660
200000017,200000080379,100000075720
200000017,200000086405,100000094
200000018,200000017137,100000039
200000018,200000048936,1000000937
200000018,200000061274,100000071420
200000018,200000072911,100000049521
200000019,200000024833,100000014
200000019,200000035383,100000011701
200000019,200000046965,100000020048
200000019,200000073927,100000010
200000020,20000003622,100000077
200000020,20000003785,100000027130
200000020,200000033595,100000050368
200000020,200000082571,100000021
200000021,20000008276,10000003239
200000021,200000014070,100000021938
200000021,200000021299,10000002673
200000021,200000040911,10000001
200000022,20000003481,100000036315
200000022,200000054217,1000000898
200000022,200000057592,100000051
200000022,200000093585,100000038030
200000023,200000033970,100000017524
200000023,200000036530,10000004460
200000023,200000075430,100000012860
200000023,200000089617,10000006
200000024,20000007827,100000071936
200000024,200000015520,100000028
200000024,200000054153,100000016732
200000024,200000090999,10000007
200000025,200000022145,100000088
200000025,200000045714,10000009
200000025,200000086573,1000000431
200000025,200000089656,100000079568
200000026,20000009779,100000012149
200000026,200000017547,100000061736
200000026,200000026277,100000076034
200000026,200000069101,10000008012
200000027,20000009299,100000070435
200000027,200000019890,1000000556
200000027,200000056465,1000000684
200000027,200000059932,100000053574
200000028,200000024352,1000000402
