device_id,device_name
40000001,a0bced9082550d39d62261b39ee4365c
40000002,6b573912cb1c599ba4b9a152e049582d
40000003,0f640c62a09b996bc3f0fea33aa5794b
40000004,d0d693274516f44c1fc32ea3fec92f63
40000005,9d2afeadb884c2ca8eef2d3d7e4b4c76
40000006,b98c81a78e580ced393e8a96d1976334
40000007,db17fec48d0c0978470ec84db28ad977
40000008,e080b9e7b6389e8702a95a8e069a6684
40000009,6f944712f204f348965fa3869dd149c6
400000010,33b6957793adc54d731402a1319993d2
400000011,f7d0ac9fe518bbc0d844ea005cf0dba7
400000012,8e194cc873e728f704f0daedd4a826aa
400000013,b0c6868ad680e9bf48d69001b3aca6fe
400000014,1128f1fd90c1f83487512c0c458b563b
400000015,5d313c193bf598f80bba1873827119ce
400000016,bb52ae90551683d39d2a5da597ba76c8
400000017,a306e98339453d9db5fdd17840ad8cb4
400000018,77e178abcbcb15eda5d721cdac1b0da4
400000019,ffb2bd1642b928941f00e820a967c9ea
400000020,4a3fbe851b64471fa44fcaa43180a856
400000021,e0f64b4a0620dbb3b5a397c456f5aa75
400000022,7ac881b364fe5638e0a518136b001f89
400000023,375341dd20c314ca210e07eeb899a871
400000024,5b45cfe5250dce1bc4c9c2877b5bd3c0
400000025,0374aa29c099fef791d8db8ae93facf7
400000026,5656af5e2e5918232e9be7dcdefe4b7b
400000027,7f38adb17ba36993c919454aa947ff25
400000028,f4597e71a0c154bb302cd914e84d55ac
400000029,c041e159330e7e221fdf15c55c8d3793
400000030,6f84fbbd9afd0c2a508908a2cbe244a4
400000031,94e2e3390902d1d038447f7df9d1544c
400000032,6ab9b54b0385b6f6b38f47c9a48f70fc
400000033,c166cd5694a9dcdbb15703445a9d4888
400000034,967cbbd199812d394cb13b5ed114bb3b
400000035,540bd345030c0a27afded41901dfcba0
400000036,a904559023aec990ded9bc25bd382934
400000037,56ab7126a79f32b54e4056dceada6102
400000038,77b2178026e007a39394215b8a1432a1
