device_id,device_name
dev_1,3cd46d206bdf427a620b598bfa92bf30
dev_2,6eb0ae902e356e32bb4a905c48293b76
dev_3,7745a931cff5b68d8be37a08c23228b5
dev_4,ec896365137498b38fce2f5b640195dd
dev_5,23ed43fb342b7a317ed696c714379906
dev_6,b7e5276bae2eaa2bac7a93f8f863df60
dev_7,7c8082e73eeca6222e2efc1a1693cce0
dev_8,5b858c075a26b78384350fb22dcc273f
dev_9,f772938a67a739b3d02f7623cd2442de
dev_10,710384ab0cac68004845f080c8475ab6
dev_11,724662880d75737ccedc534dc1133763
dev_12,c27e9fec0f9101f0f9f3b41404d9aff9
dev_13,7c62ccac0dbdb4a3df6a7c06760b126f
dev_14,cbf684f4af748098c119350d5345ee7c
dev_15,b1b8ac981f5e15d527bdb15e2cf12353
dev_16,8ba616148bd4e2b30b3b6e74d5278103
dev_17,acf85e4dd813cfea623227b06a91e2dd
dev_18,003019aa226367701b146eb3f78b93d1
dev_19,6dd43bc826a777558248685371e4a91b
dev_20,769a211bdb93af1bd2589d56f281df71
dev_21,cd4cb9bf872b626f660e5521db82c711
dev_22,929b113e73c99f639bf8df25e8c95ad1
dev_23,9e0bc36770fb0f81e1e35241524aa349
dev_24,385798d60ca382adaa08440f60130c93
dev_25,9894a174888b76e48e3ee4ce9b1997b4
dev_26,107b282f6587aa1c99783889f117a136
dev_27,9d85080724c26fcd2b0aeb3a3229f7ca
dev_28,da2316778588a677e8e5ba2dad8fed74
dev_29,0c9b00f035632fd1201ab073436ed5c8
dev_30,a284173d1bec2216bfcb643407a2864f
dev_31,440fd76bb7ceb98c2187ce3df8aa3047
dev_32,e964f87640b54ef43d4cc06ad01bcd1a
dev_33,3e28c6e0c2ba14ce1b0d9e9675841cc0
dev_34,16d52327fd2cbe39a477f3fba13b7baf
dev_35,a3fe901dfe8e3dd750a2874b0bf119f9
dev_36,3e3911bba437df5cd28d1b3b633b4e83
dev_37,f2e7d5100cf26f054ff9f1319c1d7c11
